Epoch 1/100, Time: 62.51s, LR: 0.000500
  Train Loss: 0.7589, Train Acc: 0.7314
  Val Loss: 0.5231, Val Acc: 0.7887

Epoch 2/100, Time: 63.13s, LR: 0.000500
  Train Loss: 0.4459, Train Acc: 0.8412
  Val Loss: 0.4874, Val Acc: 0.7932

Epoch 3/100, Time: 61.65s, LR: 0.000500
  Train Loss: 0.2719, Train Acc: 0.9165
  Val Loss: 0.4589, Val Acc: 0.8467

Epoch 4/100, Time: 65.71s, LR: 0.000500
  Train Loss: 0.2492, Train Acc: 0.9121
  Val Loss: 0.4629, Val Acc: 0.8646

Epoch 5/100, Time: 64.72s, LR: 0.000500
  Train Loss: 0.1947, Train Acc: 0.9447
  Val Loss: 0.5139, Val Acc: 0.8557

Epoch 6/100, Time: 67.82s, LR: 0.000500
  Train Loss: 0.1274, Train Acc: 0.9590
  Val Loss: 0.3367, Val Acc: 0.8869

Epoch 7/100, Time: 68.96s, LR: 0.000500
  Train Loss: 0.0549, Train Acc: 0.9832
  Val Loss: 0.2176, Val Acc: 0.9568

Epoch 8/100, Time: 65.17s, LR: 0.000500
  Train Loss: 0.1223, Train Acc: 0.9671
  Val Loss: 0.5548, Val Acc: 0.8646

Epoch 9/100, Time: 65.29s, LR: 0.000500
  Train Loss: 0.0503, Train Acc: 0.9827
  Val Loss: 0.5366, Val Acc: 0.8735

Epoch 10/100, Time: 64.05s, LR: 0.000500
  Train Loss: 0.1079, Train Acc: 0.9710
  Val Loss: 0.2288, Val Acc: 0.9375

Epoch 11/100, Time: 64.02s, LR: 0.000500
  Train Loss: 0.0625, Train Acc: 0.9782
  Val Loss: 0.2333, Val Acc: 0.9330

Epoch 12/100, Time: 64.39s, LR: 0.000500
  Train Loss: 0.0350, Train Acc: 0.9919
  Val Loss: 0.3252, Val Acc: 0.9107

Epoch 13/100, Time: 66.96s, LR: 0.000250
  Train Loss: 0.0261, Train Acc: 0.9904
  Val Loss: 0.5432, Val Acc: 0.8780

Epoch 14/100, Time: 65.73s, LR: 0.000250
  Train Loss: 0.0292, Train Acc: 0.9904
  Val Loss: 0.5014, Val Acc: 0.8795

Epoch 15/100, Time: 67.79s, LR: 0.000250
  Train Loss: 0.0441, Train Acc: 0.9895
  Val Loss: 0.8517, Val Acc: 0.8214

Epoch 16/100, Time: 69.03s, LR: 0.000250
  Train Loss: 0.0518, Train Acc: 0.9824
  Val Loss: 0.5658, Val Acc: 0.8824

Epoch 17/100, Time: 68.75s, LR: 0.000250
  Train Loss: 0.0294, Train Acc: 0.9916
  Val Loss: 0.5785, Val Acc: 0.8646

